RegionName,Date,AvgPrice,StateCode,Bedrooms
Arizona,2000-03-31,64503.74772056293,AZ,1
Massachusetts,2000-03-31,123385.72098644896,MA,1
Tennessee,2000-03-31,68378.68546033454,TN,1
Indiana,2000-03-31,,IN,1
Maryland,2000-03-31,78397.89888223012,MD,1
Missouri,2000-03-31,50712.0339670561,MO,1
Wisconsin,2000-03-31,65582.94100994668,WI,1
Colorado,2000-03-31,98464.47411609604,CO,1
Minnesota,2000-03-31,62346.83189792916,MN,1
South Carolina,2000-03-31,83806.09725101407,SC,1
Alabama,2000-03-31,67743.95411791063,AL,1
Louisiana,2000-03-31,82181.3191239698,LA,1
Kentucky,2000-03-31,43407.59234389857,KY,1
Oregon,2000-03-31,90518.99416422144,OR,1
Oklahoma,2000-03-31,30179.530464909167,OK,1
Connecticut,2000-03-31,71794.3657057322,CT,1
Utah,2000-03-31,113193.65569314042,UT,1
Iowa,2000-03-31,58684.041621138495,IA,1
Nevada,2000-03-31,83755.13888851654,NV,1
Arkansas,2000-03-31,46130.06077033179,AR,1
Mississippi,2000-03-31,,MS,1
Kansas,2000-03-31,44121.12269605228,KS,1
New Mexico,2000-03-31,,NM,1
Nebraska,2000-03-31,54566.53821004075,NE,1
Idaho,2000-03-31,82591.91770596082,ID,1
West Virginia,2000-03-31,39216.88859150807,WV,1
Hawaii,2000-03-31,109650.49757301416,HI,1
New Hampshire,2000-03-31,59612.37905496012,NH,1
Maine,2000-03-31,67143.91228556982,ME,1
Rhode Island,2000-03-31,81294.85918973903,RI,1
Montana,2000-03-31,,MT,1
Delaware,2000-03-31,59758.61019334372,DE,1
South Dakota,2000-03-31,,SD,1
North Dakota,2000-03-31,,ND,1
Alaska,2000-03-31,83085.75887968387,AK,1
Vermont,2000-03-31,61926.01442570847,VT,1
Wyoming,2000-03-31,,WY,1
California,2000-04-30,116246.846197002,CA,1
Texas,2000-04-30,65946.92513275782,TX,1
Florida,2000-04-30,50843.75221060213,FL,1
New York,2000-04-30,132242.93217281692,NY,1
Pennsylvania,2000-04-30,59595.162234539726,PA,1
Illinois,2000-04-30,84677.16567267718,IL,1
Ohio,2000-04-30,54258.49719756487,OH,1
Georgia,2000-04-30,85434.01658814716,GA,1
North Carolina,2000-04-30,73819.60029689931,NC,1
Michigan,2000-04-30,69226.75624474435,MI,1
New Jersey,2000-04-30,91408.08790415752,NJ,1
Virginia,2000-04-30,81397.35895876183,VA,1
Washington,2000-04-30,116321.99698225965,WA,1
Arizona,2000-04-30,64732.671033269,AZ,1
Massachusetts,2000-04-30,124565.0739667626,MA,1
Tennessee,2000-04-30,68605.01073338256,TN,1
Indiana,2000-04-30,,IN,1
Maryland,2000-04-30,78354.00667967687,MD,1
Missouri,2000-04-30,51000.0556409304,MO,1
Wisconsin,2000-04-30,65649.07521288497,WI,1
Colorado,2000-04-30,99446.26171066466,CO,1
Minnesota,2000-04-30,63029.2838254555,MN,1
South Carolina,2000-04-30,84576.72138925044,SC,1
Alabama,2000-04-30,67946.75528948916,AL,1
Louisiana,2000-04-30,82472.64737279595,LA,1
Kentucky,2000-04-30,43496.18410718394,KY,1
Oregon,2000-04-30,90948.26072243995,OR,1
Oklahoma,2000-04-30,30236.998773332773,OK,1
Connecticut,2000-04-30,72092.79849809164,CT,1
Utah,2000-04-30,113500.7467853821,UT,1
Iowa,2000-04-30,58884.255836272176,IA,1
Nevada,2000-04-30,83922.77907114055,NV,1
Arkansas,2000-04-30,46127.1366897152,AR,1
Mississippi,2000-04-30,,MS,1
Kansas,2000-04-30,44210.71597927356,KS,1
New Mexico,2000-04-30,,NM,1
Nebraska,2000-04-30,54831.21506190164,NE,1
Idaho,2000-04-30,82765.03185760677,ID,1
West Virginia,2000-04-30,39166.07775059036,WV,1
Hawaii,2000-04-30,110052.48911297346,HI,1
New Hampshire,2000-04-30,60059.75964364445,NH,1
Maine,2000-04-30,67511.82554513485,ME,1
Rhode Island,2000-04-30,82230.16625701514,RI,1
Montana,2000-04-30,,MT,1
Delaware,2000-04-30,60110.2752089524,DE,1
South Dakota,2000-04-30,,SD,1
